userId,title,genres,prediction
1,Seve (2014),Documentary|Drama,5.586313
1,The Big Bus (1976),Action|Comedy,5.586313
1,On the Beach (1959),Drama,5.558284
1,Saving Face (2004),Comedy|Drama|Romance,5.5417786
1,Victory (a.k.a. Escape to Victory) (1981),Action|Drama|War,5.432544
2,The Jinx: The Life and Deaths of Robert Durst (2015),Documentary,4.8246036
2,De platte jungle (1978),Documentary,4.511175
2,Blue Planet II (2017),Documentary,4.511175
2,Nasu: Summer in Andalusia (2003),Animation,4.511175
2,Bitter Lake (2015),Documentary,4.511175
3,Alien Contamination (1980),Action|Horror|Sci-Fi,4.856885
3,Galaxy of Terror (Quest) (1981),Action|Horror|Mystery|Sci-Fi,4.856885
3,Android (1982),Sci-Fi,4.778965
3,Death Race 2000 (1975),Action|Sci-Fi,4.777203
3,Hangar 18 (1980),Action|Sci-Fi|Thriller,4.77299
4,L.I.E. (2001),Drama,4.7069607
4,Beautiful Thing (1996),Drama|Romance,4.6951027
4,Afterglow (1997),Drama|Romance,4.6720133
4,Seve (2014),Documentary|Drama,4.623643
4,The Big Bus (1976),Action|Comedy,4.623643
5,Seve (2014),Documentary|Drama,4.6654754
5,The Big Bus (1976),Action|Comedy,4.6654754
5,On the Beach (1959),Drama,4.5728426
5,"Holy Mountain, The (Montaña sagrada, La) (1973)",Drama,4.5505013
5,Victory (a.k.a. Escape to Victory) (1981),Action|Drama|War,4.5479093
6,Saving Face (2004),Comedy|Drama|Romance,4.836688
6,Babes in Toyland (1934),Children|Comedy|Fantasy|Musical,4.729935
6,Strictly Sexual (2008),Comedy|Drama|Romance,4.6966877
6,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),Children|Drama|Romance,4.6689425
6,Thief (1981),Crime|Drama|Thriller,4.626278
7,On the Beach (1959),Drama,4.5999827
7,Come and See (Idi i smotri) (1985),Drama|War,4.5723333
7,"Jetée, La (1962)",Romance|Sci-Fi,4.524705
7,Seve (2014),Documentary|Drama,4.4413095
7,The Big Bus (1976),Action|Comedy,4.4413095
8,On the Beach (1959),Drama,4.7634773
8,Saving Face (2004),Comedy|Drama|Romance,4.571025
8,Cosmos,(no genres listed),4.552795
8,Seve (2014),Documentary|Drama,4.480428
8,The Big Bus (1976),Action|Comedy,4.480428
9,On the Beach (1959),Drama,4.6942496
9,Seve (2014),Documentary|Drama,4.594099
9,The Big Bus (1976),Action|Comedy,4.594099
9,Belle époque (1992),Comedy|Romance,4.592633
9,Gallipoli (1981),Drama|War,4.5590367
10,"Education, An (2009)",Drama|Romance,4.402545
10,The Hundred-Foot Journey (2014),Comedy|Drama,4.3586884
10,Babes in Toyland (1934),Children|Comedy|Fantasy|Musical,4.33703
10,Priceless (Hors de prix) (2006),Comedy|Romance,4.297655
10,First Daughter (2004),Comedy|Romance,4.2926817
11,On the Beach (1959),Drama,5.0308423
11,"Visitor, The (2007)",Drama|Romance,4.830534
11,Babes in Toyland (1934),Children|Comedy|Fantasy|Musical,4.7734575
11,Cosmos,(no genres listed),4.763202
11,"Imposter, The (2012)",Documentary,4.733678
12,Adam's Rib (1949),Comedy|Romance,5.546658
12,Strictly Sexual (2008),Comedy|Drama|Romance,5.536793
12,Saving Face (2004),Comedy|Drama|Romance,5.443357
12,"Very Potter Sequel, A (2010)",Comedy|Musical,5.43285
12,12 Angry Men (1997),Crime|Drama,5.43285
13,On the Beach (1959),Drama,5.0729046
13,Saving Face (2004),Comedy|Drama|Romance,4.8714423
13,Cosmos,(no genres listed),4.8079586
13,Belle époque (1992),Comedy|Romance,4.7470083
13,North & South (2004),Drama|Romance,4.721071
14,De platte jungle (1978),Documentary,4.6295614
14,Blue Planet II (2017),Documentary,4.6295614
14,Nasu: Summer in Andalusia (2003),Animation,4.6295614
14,Bitter Lake (2015),Documentary,4.6295614
14,Watermark (2014),Documentary,4.6295614
15,"Visitor, The (2007)",Drama|Romance,4.597323
15,Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962),Drama|War,4.555955
15,On the Beach (1959),Drama,4.328862
15,Dune (2000),Drama|Fantasy|Sci-Fi,4.322562
15,Battlestar Galactica (2003),Drama|Sci-Fi|War,4.2891974
16,On the Beach (1959),Drama,4.49952
16,Saving Face (2004),Comedy|Drama|Romance,4.2510333
16,"Jetée, La (1962)",Romance|Sci-Fi,4.2080255
16,Cosmos,(no genres listed),4.198633
16,Belle époque (1992),Comedy|Romance,4.1846194
17,On the Beach (1959),Drama,5.103811
17,Saving Face (2004),Comedy|Drama|Romance,4.8822303
17,Seve (2014),Documentary|Drama,4.879365
17,The Big Bus (1976),Action|Comedy,4.879365
17,Cosmos,(no genres listed),4.828145
18,On the Beach (1959),Drama,4.898711
18,Saving Face (2004),Comedy|Drama|Romance,4.747779
18,Cosmos,(no genres listed),4.674421
18,Belle époque (1992),Comedy|Romance,4.5864615
18,De platte jungle (1978),Documentary,4.5645986
19,Saving Face (2004),Comedy|Drama|Romance,3.918238
19,On the Beach (1959),Drama,3.9161174
19,Oxygen (1999),Crime|Drama|Thriller,3.7956326
19,Candleshoe (1977),Adventure|Children|Comedy,3.7956326
19,"Jetée, La (1962)",Romance|Sci-Fi,3.7374642
20,Seve (2014),Documentary|Drama,5.155164
20,The Big Bus (1976),Action|Comedy,5.155164
20,Victory (a.k.a. Escape to Victory) (1981),Action|Drama|War,5.014241
20,"Day at the Races, A (1937)",Comedy|Musical,4.8590426
20,"Holy Mountain, The (Montaña sagrada, La) (1973)",Drama,4.853806
21,Babes in Toyland (1934),Children|Comedy|Fantasy|Musical,4.6723313
21,Strictly Sexual (2008),Comedy|Drama|Romance,4.5035114
21,Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962),Drama|War,4.429745
21,Idiocracy (2006),Adventure|Comedy|Sci-Fi|Thriller,4.211841
21,"Visitor, The (2007)",Drama|Romance,4.139859
22,Bossa Nova (2000),Comedy|Drama|Romance,4.053421
22,Midnight Cowboy (1969),Drama,3.9969702
22,Stanley Kubrick: A Life in Pictures (2001),Documentary,3.8791926
22,Seve (2014),Documentary|Drama,3.6450338
22,The Big Bus (1976),Action|Comedy,3.6450338
23,On the Beach (1959),Drama,4.5077205
23,Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993),Action|Adventure|Animation,4.2851496
23,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Action|Animation|Drama|Fantasy|Sci-Fi,4.1350327
23,"Samouraï, Le (Godson, The) (1967)",Crime|Drama|Thriller,4.130455
23,"Holy Mountain, The (Montaña sagrada, La) (1973)",Drama,4.0888534
24,On the Beach (1959),Drama,4.6770263
24,Saving Face (2004),Comedy|Drama|Romance,4.566051
24,Cosmos,(no genres listed),4.455076
24,"Visitor, The (2007)",Drama|Romance,4.3731503
24,Deathgasm (2015),Comedy|Horror,4.350336
25,On the Beach (1959),Drama,5.648426
25,Saving Face (2004),Comedy|Drama|Romance,5.580171
25,Come and See (Idi i smotri) (1985),Drama|War,5.447579
25,"Jetée, La (1962)",Romance|Sci-Fi,5.4312487
25,Cosmos,(no genres listed),5.365754
26,On the Beach (1959),Drama,4.357634
26,Saving Face (2004),Comedy|Drama|Romance,4.21319
26,Seve (2014),Documentary|Drama,4.140956
26,The Big Bus (1976),Action|Comedy,4.140956
26,Cosmos,(no genres listed),4.13699
27,"Very Potter Sequel, A (2010)",Comedy|Musical,4.551759
27,12 Angry Men (1997),Crime|Drama,4.551759
27,Mr. Skeffington (1944),Drama|Romance,4.551759
27,Guess Who's Coming to Dinner (1967),Drama,4.539225
27,Babes in Toyland (1934),Children|Comedy|Fantasy|Musical,4.514413
28,"Visitor, The (2007)",Drama|Romance,4.2683477
28,Dune (2000),Drama|Fantasy|Sci-Fi,4.0180693
28,On the Beach (1959),Drama,3.9704742
28,Children of Dune (2003),Fantasy|Sci-Fi,3.9639647
28,Once (2006),Drama|Musical|Romance,3.8289344
29,On the Beach (1959),Drama,5.219339
29,"Jetée, La (1962)",Romance|Sci-Fi,4.9499564
29,Cosmos,(no genres listed),4.8545823
29,Saving Face (2004),Comedy|Drama|Romance,4.8402824
29,Come and See (Idi i smotri) (1985),Drama|War,4.8317924
30,Saving Face (2004),Comedy|Drama|Romance,5.5862827
30,On the Beach (1959),Drama,5.463724
30,Strictly Sexual (2008),Comedy|Drama|Romance,5.423428
30,North & South (2004),Drama|Romance,5.3347564
30,Cosmos,(no genres listed),5.288328
31,Saving Face (2004),Comedy|Drama|Romance,5.178916
31,On the Beach (1959),Drama,4.897477
31,North & South (2004),Drama|Romance,4.884103
31,Cosmos,(no genres listed),4.7519646
31,Adam's Rib (1949),Comedy|Romance,4.7412543
32,On the Beach (1959),Drama,4.9216833
32,Seve (2014),Documentary|Drama,4.805548
32,The Big Bus (1976),Action|Comedy,4.805548
32,Saving Face (2004),Comedy|Drama|Romance,4.786512
32,Victory (a.k.a. Escape to Victory) (1981),Action|Drama|War,4.70778
33,Seve (2014),Documentary|Drama,4.7986345
33,The Big Bus (1976),Action|Comedy,4.7986345
33,Ponette (1996),Drama,4.761515
33,Victory (a.k.a. Escape to Victory) (1981),Action|Drama|War,4.6745834
33,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Drama,4.6508827
34,Strictly Sexual (2008),Comedy|Drama|Romance,4.5713267
34,Saving Face (2004),Comedy|Drama|Romance,4.4839706
34,Emma (2009),Comedy|Drama|Romance,4.4838886
34,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi,4.4198537
34,On the Beach (1959),Drama,4.37908
